experiment,category,clips,mean_wer,median_wer
base_auto,travel and culture,11,0.3852779439332829,0.2222222222222222
base_auto,academic,12,0.5129922592816146,0.3571428571428571
base_auto,software development,16,0.5353364471785524,0.562200956937799
base_auto,entertainment,7,0.5744047619047619,0.5
base_auto,business,12,0.5820741758241758,0.5025641025641026
base_auto,medical,11,0.5880959949141767,0.6
base_auto,everyday conversation,15,0.6218823768823769,0.6666666666666666
base_auto,language education,16,0.6700651870059765,0.6157894736842104
base_forced_ko,software development,16,0.539881901724007,0.562200956937799
base_forced_ko,medical,11,0.5653687221869039,0.6
base_forced_ko,academic,12,0.5743603847426936,0.47619047619047616
base_forced_ko,business,12,0.673344017094017,0.8
base_forced_ko,language education,16,0.6968415027954502,0.6157894736842104
base_forced_ko,everyday conversation,15,0.765956450956451,0.8
base_forced_ko,travel and culture,11,0.7745069745069745,1.0
base_forced_ko,entertainment,7,0.9007936507936508,0.9166666666666666
small_auto,travel and culture,11,0.23348100844650785,0.1481481481481481
small_auto,entertainment,7,0.3561507936507936,0.25
small_auto,academic,12,0.38620041245800735,0.3007518796992481
small_auto,language education,16,0.41275213273568534,0.3078947368421052
small_auto,software development,16,0.45326499158736,0.48333333333333334
small_auto,medical,11,0.4706929434202161,0.5
small_auto,everyday conversation,15,0.49293650793650795,0.4
small_auto,business,12,0.4974969474969475,0.2738095238095237
small_forced_ko,software development,16,0.43763999158736,0.48333333333333334
small_forced_ko,medical,11,0.4706929434202161,0.5
small_forced_ko,academic,12,0.5664123115210072,0.5962732919254659
small_forced_ko,language education,16,0.6612225274725274,0.6
small_forced_ko,business,12,0.6706120268620269,0.823076923076923
small_forced_ko,everyday conversation,15,0.6984920634920635,0.75
small_forced_ko,travel and culture,11,0.7584614929534715,0.9411764705882352
small_forced_ko,entertainment,7,0.8194444444444444,1.0
